host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h2,346.874,0.0,124,4,10000000,238434.1685144124,57300456,50233354,21.84522,0.946354,12.70464,67209812,59506688,7703124,11.461308655349312,3,h10
h4,257.951,0.0,33,3,10000000,424.9569892473118,4902,34619,35.268288,0.994584,22.663439,67209812,67371008,-161196,-0.239839980507608,3,h10
h5,209.08,0.0,0,2,10000000,466.4811320754717,5034,44413,34.558281,0.99356,21.911373,67209812,67371008,-161196,-0.239839980507608,3,h14
h6,161.765,0.0,18,1,10000000,7447.528571428571,991438,51216,30.256905,0.986645,18.743637,67209812,66846720,363092,0.5402365952161866,3,h14
h7,280.839,0.0,54,3,10000000,23708.8735632184,4059952,65392,26.68885,0.974302,15.900956,67209812,65273856,1935956,2.88046632238757,3,h14
h8,423.869,0.0,63,3,10000000,35444.69711538462,7288044,84453,32.003061,0.986332,18.643,67209812,66846720,363092,0.5402365952161866,3,h10
h9,526.817,0.0,41,2,10000000,43341.09504132231,10376350,112195,24.923291,0.967042,14.820332,67209812,65273856,1935956,2.88046632238757,3,h10
h11,358.204,0.0,44,2,10000000,56804.67028985507,15522518,155571,25.647696,0.965295,14.5961,67209812,62128128,5081684,7.560925776730339,3,h10
h12,291.213,0.0,70,3,10000000,73374.13225806452,22540996,204985,25.05737,0.960366,14.019351,67209812,59768832,7440980,11.071270367487411,3,h10
h13,238.522,0.0,47,2,10000000,93970.94782608697,32151676,268301,20.212817,0.9347,11.850846,67209812,58982400,8227412,12.241385231073105,3,h10
h1,361.194,0.0,67,3,10000000,108002.2480211082,40666134,266718,25.703071,0.964742,14.527406,67209812,62128128,5081684,7.560925776730339,3,h14
h2,287.058,0.0,73,3,10000000,116859.22033898304,47954216,308642,21.663048,0.943643,12.490483,67209812,59768832,7440980,11.071270367487411,3,h14
